question_id,conversation,question,question_type,label,prediction,correct,gold_start,gold_end,pred_start,pred_end,tiou,gold_text,pred_text,latency_ms,failure,start_error_s,end_error_s,duration_ratio,word_oracle,candidate_oracle,baseline_tiou,pre_alignment_tiou,aligned_word_oracle,error_bucket
sample_4_yes_q03,sample_4,Did the patient attend for an annual asthma follow-up?,positive,1,1,1,21.62,26.24,22.19,24.14,0.42207792207792216,"this is your annual follow -up. It is, for the asthma.",this is your annual follow -up.,,,0.5700000000000003,-2.099999999999998,0.42207792207792216,0.9183673469387758,0.44588744588744583,,0.44588744588744583,,too_narrow
sample_4_yes_q07,sample_4,Is the heart examination without abnormal findings?,positive,1,1,1,43.5,44.98,40.62,44.84,0.3073394495412852,abnormal to report.,chest and heart both sound normal. Nothing abnormal to report.,,,-2.8800000000000026,-0.13999999999999346,2.8513513513513615,0.6891891891891928,0.25726141078838216,,0.25726141078838216,,too_wide
sample_4_yes_q06,sample_4,Was the patient listened to with a stethoscope?,positive,1,0,0,28.520000000000003,42.72,,,0.0,"Let me listen to your chest and your heart, and then we will talk. Go ahead. Breathe normally for me. And again. Is it alright? Your chest and heart both sound normal.",,,,,,,0.9873239436619721,,,,,false_negative
sample_4_yes_q05,sample_4,Were the lungs found to be normal on auscultation?,positive,1,1,1,40.68,44.98,40.62,44.84,0.9541284403669734,chest and heart both sound normal. Nothing abnormal to report.,chest and heart both sound normal. Nothing abnormal to report.,,,-0.060000000000002274,-0.13999999999999346,0.9813953488372114,0.9348837209302339,0.8423236514522826,,0.8423236514522826,,strong
sample_4_yes_q02,sample_4,Are the patient's asthma findings stable at this visit?,positive,1,1,1,51.48,54.4,50.16,54.42,0.6854460093896709,is what a stable annual check looks like.,has. This is what a stable annual check looks like.,,,-1.3200000000000003,0.020000000000003126,1.458904109589042,0.9315068493150676,0.8452380952380963,,0.6042553191489375,,boundary_shift_or_partial
sample_4_hard_no_q01,sample_4,Should the asthma medication dose be increased?,hard_negative,0,0,1,,,,,,,,,,,,,,,,,,correct_no
sample_4_yes_q01,sample_4,Will the current treatment continue unchanged?,positive,1,1,1,55.64,61.64,57.75,60.96,0.5350000000000001,happens with my treatment? No changes. You carry on exactly as you are.,changes. You carry on exactly as you are.,,,2.1099999999999994,-0.6799999999999997,0.5350000000000001,0.9256965944272451,0.5766666666666668,,0.5766666666666668,,too_narrow
sample_4_yes_q04,sample_4,Does the visit concern asthma?,positive,1,1,1,24.88,26.24,24.66,26.22,0.8481012658227857,"is, for the asthma.","It is, for the asthma.",,,-0.21999999999999886,-0.019999999999999574,1.1470588235294112,0.808823529411766,0.7126436781609213,,0.7126436781609213,,boundary_shift_or_partial
sample_4_off_topic_q01,sample_4,Is there any discussion about cooking?,off_topic,0,0,1,,,,,,,,,,,,,,,,,,correct_no
sample_4_hard_no_q02,sample_4,Has an irregular heart rhythm been found?,hard_negative,0,0,1,,,,,,,,,,,,,,,,,,correct_no
sample_5_yes_q01,sample_5,Does the patient take pantoprazole for reflux?,positive,1,1,1,47.08,52.84,50.09,52.84,0.47743055555555514,then the anti -inflammatory gave me reflux on top. Which is why you are on pantoprazole for that.,is why you are on pantoprazole for that.,,,3.010000000000005,0.0,0.47743055555555514,0.9687500000000001,0.9158576051779931,,0.5104166666666671,,too_narrow
sample_5_hard_no_q02,sample_5,Did the back pain begin after surgery for a lumbar disc prolapse?,hard_negative,0,0,1,,,,,,,,,,,,,,,,,,correct_no
sample_5_hard_no_q01,sample_5,Have the pains in the hands been attributed to gout?,hard_negative,0,0,1,,,,,,,,,,,,,,,,,,correct_no
sample_5_yes_q05,sample_5,Is the patient still in pain despite regular Ibumetin and Panodil?,positive,1,1,1,36.42,41.58,36.26,44.82,0.6028037383177565,pain has just carried on regardless. Despite taking the ibumetin and the panadil,"the pain has just carried on regardless. Despite taking the ibumetin and the panadil regularly? Despite both, and I do take them properly.",,,-0.1600000000000037,3.240000000000002,1.6589147286821722,0.9845559845559849,0.6128266033254152,,0.5489361702127656,,too_wide
sample_5_yes_q02,sample_5,Will the NSAID treatment be continued under cover of a proton pump inhibitor?,positive,1,1,1,142.44,147.88,143.66,147.88,0.7757352941176472,"the pain, you continue the anti -inflammatory with the stomach protection alongside it.",continue the anti -inflammatory with the stomach protection alongside it.,,,1.2199999999999989,0.0,0.7757352941176472,0.9558823529411747,0.9270833333333354,,0.841911764705885,,boundary_shift_or_partial
sample_5_yes_q06,sample_5,Did the patient undergo surgery for a cervical disc prolapse in 2017?,positive,1,1,1,32.06,34.98,31.16,34.88,0.7382198952879588,"cervical disc prolapse, operated in 2017.","is right, the cervical disc prolapse, operated in 2017.",,,-0.9000000000000021,-0.09999999999999432,1.2739726027397291,0.9251700680272112,0.8717948717948721,,0.6445497630331758,,boundary_shift_or_partial
sample_5_off_topic_q02,sample_5,Does the conversation mention the patient owning a digital camera?,off_topic,0,0,1,,,,,,,,,,,,,,,,,,correct_no
sample_5_yes_q03,sample_5,Was muscle tension found in the neck and shoulders?,positive,1,1,1,102.68,105.42,102.21,105.44,0.8482972136222884,can feel muscle tension in your neck and shoulders,i can feel muscle tension in your neck and shoulders,,,-0.4700000000000131,0.01999999999999602,1.178832116788325,0.9416058394160596,0.7471910112359537,,0.7471910112359537,,boundary_shift_or_partial
sample_5_yes_q04,sample_5,Are the menopausal symptoms treated with Activelle?,positive,1,1,1,70.44,73.82,70.73,73.8,0.9082840236686383,"the menopausal symptoms, which you are taking Activel for.","menopausal symptoms, which you are taking Activel for.",,,0.29000000000000625,-0.01999999999999602,0.9082840236686383,0.9532163742690108,0.9532163742690108,,0.9532163742690108,,strong
sample_5_off_topic_q01,sample_5,Is the patient discussing owning a cat?,off_topic,0,0,1,,,,,,,,,,,,,,,,,,correct_no
sample_6_yes_q03,sample_6,Was the patient's voice noted to sound congested?,positive,1,1,1,24.4,26.34,24.46,26.38,0.9494949494949488,You do sound congested.,You do sound congested.,,,0.060000000000002274,0.03999999999999915,0.9896907216494829,0.9038461538461559,0.9038461538461559,,0.9038461538461559,,strong
sample_6_hard_no_q02,sample_6,Should the fungal infection be treated with Brentan gel?,hard_negative,0,0,1,,,,,,,,,,,,,,,,,,correct_no
sample_6_off_topic_q01,sample_6,Does the patient talk about needing a new vehicle for their daily commute?,off_topic,0,0,1,,,,,,,,,,,,,,,,,,correct_no
sample_6_yes_q04,sample_6,Are four daily doses of one million IU of penicillin planned?,positive,1,1,1,62.9,69.68,65.42,69.66,0.6253687315634203,"the sinuses, penicillin. One million international units, four times daily, for seven days.","million international units, four times daily, for seven days.",,,2.520000000000003,-0.020000000000010232,0.6253687315634203,0.958702064896754,0.6784660766961657,,0.6784660766961657,,too_narrow
sample_6_yes_q05,sample_6,Does the patient also have a fungal infection in the mouth?,positive,1,1,1,72.96,77.6,12.84,14.96,0.0,"And fluconazole, 50 milligrams, for seven days, for the mouth.",And I have got thrush in my mouth as well.,,,-60.11999999999999,-62.63999999999999,0.45689655172413807,0.9310344827586222,0.0,,0.0,,nonoverlap_review_occurrence
sample_6_yes_q07,sample_6,Did the patient ask for penicillin?,positive,1,1,1,17.9,19.18,17.74,19.24,0.853333333333334,want penicillin for it.,I want penicillin for it.,,,-0.16000000000000014,0.05999999999999872,1.171874999999999,0.8437500000000007,0.7750000000000006,,0.7750000000000006,,boundary_shift_or_partial
sample_6_yes_q01,sample_6,Will the patient take Fluconazole 50 mg?,positive,1,1,1,73.52,77.6,73.65,77.64,0.958737864077666,"fluconazole, 50 milligrams, for seven days, for the mouth.","fluconazole, 50 milligrams, for seven days, for the mouth.",,,0.13000000000000966,0.04000000000000625,0.9779411764705874,0.931372549019611,0.9178082191780855,,0.9178082191780855,,strong
sample_6_hard_no_q01,sample_6,Does the patient want to avoid antibiotics?,hard_negative,0,0,1,,,,,,,,,,,,,,,,,,correct_no
sample_6_yes_q02,sample_6,Is the patient complaining of sinus symptoms?,positive,1,1,1,9.06,12.28,9.05,12.3,0.9907692307692304,"sinuses. Blocked, aching, the whole business.","sinuses. Blocked, aching, the whole business.",,,-0.009999999999999787,0.02000000000000135,1.0093167701863357,0.9440993788819877,0.8770949720670388,,0.8770949720670388,,strong
sample_6_yes_q06,sample_6,Has penicillin been prescribed for seven days?,positive,1,1,1,64.18,69.68,65.42,69.66,0.77090909090909,"penicillin. One million international units, four times daily, for seven days.","million international units, four times daily, for seven days.",,,1.2399999999999949,-0.020000000000010232,0.77090909090909,0.9275862068965502,0.8363636363636379,,0.8363636363636379,,boundary_shift_or_partial
sample_10_hard_no_q01,sample_10,Has the doctor found the condition to be unstable?,hard_negative,0,0,1,,,,,,,,,,,,,,,,,,correct_no
sample_10_hard_no_q04,sample_10,Did the patient report new breathing symptoms?,hard_negative,0,0,1,,,,,,,,,,,,,,,,,,correct_no
sample_10_yes_q01,sample_10,Does the patient need continued treatment?,positive,1,1,1,63.18,64.58,62.98,65.22,0.6249999999999988,do need to continue the treatment,You do need to continue the treatment you are on.,,,-0.20000000000000284,0.6400000000000006,1.600000000000003,0.8428571428571486,0.5882352941176459,,0.5882352941176459,,too_wide
sample_10_off_topic_q02,sample_10,Did the patient mention owning a specific pet?,off_topic,0,0,1,,,,,,,,,,,,,,,,,,correct_no
sample_10_off_topic_q01,sample_10,Was any problem with housing discussed?,off_topic,0,0,1,,,,,,,,,,,,,,,,,,correct_no
sample_10_hard_no_q05,sample_10,Is the stomach acid medication being discontinued?,hard_negative,0,0,1,,,,,,,,,,,,,,,,,,correct_no
sample_10_hard_no_q03,sample_10,Were abnormal sounds heard over the lungs?,hard_negative,0,0,1,,,,,,,,,,,,,,,,,,correct_no
sample_10_yes_q02,sample_10,Were the lungs and heart normal on auscultation?,positive,1,1,1,53.76,57.56,53.67,55.88,0.544987146529564,lungs and and your heart both sound normal. Nothing abnormal on listening.,lungs and and your heart both sound normal.,,,-0.0899999999999963,-1.6799999999999997,0.5815789473684206,0.9421052631578932,0.49029126213592256,,0.49029126213592256,,too_narrow
sample_10_yes_q03,sample_10,"Are the patient's complaints unchanged, with nothing new reported?",positive,1,1,1,22.2,23.56,22.12,23.52,0.9166666666666683,No. Nothing new.,No. Nothing new.,,,-0.0799999999999983,-0.03999999999999915,1.0294117647058818,0.7721518987341796,0.7721518987341796,,0.7721518987341796,,strong
sample_10_hard_no_q02,sample_10,Does the plan include a referral to a lung specialist?,hard_negative,0,0,1,,,,,,,,,,,,,,,,,,correct_no
sample_17_yes_q03,sample_17,Is the medicine to be taken after a meal?,positive,1,1,1,46.1,47.52,45.78,47.5,0.8045977011494235,take it after a meal.,You take it after a meal.,,,-0.3200000000000003,-0.020000000000003126,1.2112676056338005,0.8169014084507008,0.6770833333333313,,0.6770833333333313,,boundary_shift_or_partial
sample_17_hard_no_q06,sample_17,Has the patient been told that the condition needs no treatment?,hard_negative,0,0,1,,,,,,,,,,,,,,,,,,correct_no
sample_17_yes_q02,sample_17,Should the daily dose be 100 mg?,positive,1,1,1,42.84,44.42,42.13,45.52,0.46607669616519115,mg daily,100 mg daily for 2 weeks.,,,-0.7100000000000009,1.1000000000000014,2.145569620253167,0.7848101265822806,0.7128712871287106,,0.43169398907103734,,too_wide
sample_17_hard_no_q05,sample_17,Were bacteria identified in the sample?,hard_negative,0,0,1,,,,,,,,,,,,,,,,,,correct_no
sample_17_hard_no_q03,sample_17,Did the swab come from the throat?,hard_negative,0,0,1,,,,,,,,,,,,,,,,,,correct_no
sample_17_hard_no_q02,sample_17,Was the prescribed dose 200 mg daily?,hard_negative,0,0,1,,,,,,,,,,,,,,,,,,correct_no
sample_17_off_topic_q01,sample_17,Is there any mention of attending a concert?,off_topic,0,0,1,,,,,,,,,,,,,,,,,,correct_no
sample_17_hard_no_q01,sample_17,"The treatment is planned to run for six weeks, right?",hard_negative,0,0,1,,,,,,,,,,,,,,,,,,correct_no
sample_17_hard_no_q04,sample_17,Should the tablets be taken on an empty stomach?,hard_negative,0,0,1,,,,,,,,,,,,,,,,,,correct_no
sample_17_yes_q01,sample_17,Will the treatment last two weeks?,positive,1,1,1,48.18,50.7,42.13,45.52,0.0,After a meal every day for 2 weeks.,100 mg daily for 2 weeks.,,,-6.049999999999997,-5.18,1.3452380952380938,0.8345323741007192,0.6349206349206347,,0.0,,nonoverlap_review_occurrence
sample_18_yes_q04,sample_18,Should kidney function be monitored?,positive,1,1,1,41.82,45.58,41.36,45.38,0.8436018957345979,we should monitor your blood pressure and your kidney function.,means we should monitor your blood pressure and your kidney function.,,,-0.46000000000000085,-0.19999999999999574,1.0691489361702142,0.9105263157894746,0.7925531914893632,,0.7424892703862668,,boundary_shift_or_partial
sample_18_off_topic_q01,sample_18,Is there any reference to the patient planning a specific fitness challenge?,off_topic,0,0,1,,,,,,,,,,,,,,,,,,correct_no
sample_18_yes_q02,sample_18,Did the patient ask for a renewal of the Ibumetin prescription?,positive,1,1,1,17.24,18.5,17.03,18.5,0.8571428571428589,need my ibumetin renewed.,I need my ibumetin renewed.,,,-0.2099999999999973,0.0,1.1666666666666643,0.8730158730158702,0.8730158730158702,,0.716049382716049,,boundary_shift_or_partial
sample_18_yes_q01,sample_18,Has the Ibumetin prescription been issued?,positive,1,1,1,69.38,72.04,69.31,71.82,0.8937728937728916,The prescription is created.,Yes. The prescription is created.,,,-0.06999999999999318,-0.22000000000001307,0.9436090225563837,0.7800000000000011,0.7800000000000011,,0.7800000000000011,,boundary_shift_or_partial
sample_18_yes_q07,sample_18,Is the patient also taking Pantoprazole?,positive,1,1,1,20.92,26.3,24.96,26.34,0.2472324723247233,"you are still taking pantoprazole alongside it? Yes, every day with it.","Yes, every day with it.",,,4.039999999999999,0.03999999999999915,0.2565055762081783,0.95910780669145,0.26394052044609634,,0.26394052044609634,,too_narrow
