question_id,question,conversation,fold,baseline_tiou,pool_tiou,delta,baseline_span,chosen_span
sample_20_yes_q01,Was Ibumetin renewed as well?,conversation_sample_20.mp3,0,0.815286624203821,0.815286624203821,0.0,"(181.59, 186.28)","(181.59, 186.28)"
sample_20_yes_q05,Is Pamol one of the medicines requested?,conversation_sample_20.mp3,0,0.0,0.0,0.0,"(42.6, 48.32)","(42.6, 48.32)"
sample_20_yes_q02,Has the pain problem been described as stable?,conversation_sample_20.mp3,0,0.974545454545457,0.974545454545457,0.0,"(102.27, 104.98)","(102.27, 104.98)"
sample_20_yes_q04,Does the patient still need pain relief?,conversation_sample_20.mp3,0,0.8597285067873289,0.8597285067873289,0.0,"(105.25, 107.46)","(105.25, 107.46)"
sample_20_yes_q03,Were both prescriptions issued?,conversation_sample_20.mp3,0,0.4392324093816638,0.4392324093816638,0.0,"(181.59, 186.28)","(181.59, 186.28)"
sample_47_yes_q03,Has penicillin treatment been started?,conversation_sample_47.mp3,0,0.260981912144702,0.260981912144702,0.0,"(71.66, 73.88)","(71.66, 73.88)"
sample_47_yes_q01,Were coatings seen on the tonsils?,conversation_sample_47.mp3,0,0.9563758389261748,0.9563758389261748,0.0,"(25.81, 28.7)","(25.81, 28.7)"
sample_47_yes_q02,Does the patient have a sore throat?,conversation_sample_47.mp3,0,0.9674556213017753,0.9674556213017753,0.0,"(8.39, 11.66)","(8.39, 11.66)"
sample_52_yes_q02,Did the doctor plan continued follow-up?,conversation_sample_52.mp3,0,0.9867549668874198,0.9867549668874198,0.0,"(83.42, 86.44)","(83.42, 86.44)"
sample_52_yes_q03,Was the patient seen as engaged during the consultation?,conversation_sample_52.mp3,0,0.951871657754009,0.951871657754009,0.0,"(58.96, 62.62)","(58.96, 62.62)"
sample_52_yes_q01,"The patient understands the treatment well, right?",conversation_sample_52.mp3,0,0.9338521400778204,0.9338521400778204,0.0,"(70.54, 75.34)","(70.54, 75.34)"
sample_55_yes_q02,Does the plan include routine follow-up?,conversation_sample_55.mp3,0,0.6339285714285696,0.3205574912891987,-0.31337108013937093,"(78.6, 80.84)","(77.97, 80.34)"
sample_55_yes_q03,Will the current treatment be continued?,conversation_sample_55.mp3,0,0.9053254437869841,0.9053254437869841,0.0,"(70.84, 74.18)","(70.84, 74.18)"
